"No.","Time","Source","Destination","Protocol","Length","Info"
"2210","11.651308","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2211","11.651354","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2212","11.652458","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2213","11.652458","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2214","11.652458","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2215","11.652458","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2216","11.652458","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2217","11.652458","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2218","11.652757","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2219","11.662789","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"2220","11.680439","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2221","11.690721","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2222","11.690923","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2223","11.691206","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2224","11.691206","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2225","11.694144","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2226","11.697341","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2227","11.698072","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2228","11.698072","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2229","11.698072","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2230","11.698072","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2231","11.698240","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2232","11.701012","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2233","11.701918","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2234","11.701918","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2235","11.701918","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2236","11.701918","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2237","11.701918","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2238","11.710758","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"2239","11.714032","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2240","11.714452","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2241","11.717302","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2242","11.718210","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2243","11.718210","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2244","11.718210","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2245","11.718210","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2246","11.718210","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2247","11.720299","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2248","11.720299","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2249","11.720420","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2250","11.720523","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2251","11.723495","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2252","11.724019","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2253","11.724019","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2254","11.724019","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2255","11.733093","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2256","11.733294","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2257","11.763883","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2258","11.764218","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2259","11.768442","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2260","11.768835","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2261","11.768835","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2262","11.768835","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2263","11.768835","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2264","11.774718","192.168.43.144","114.125.240.19","UDP","76","57846  >  443 Len=34"
"2265","11.776722","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2266","11.777630","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2267","11.777630","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2268","11.777630","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2269","11.777630","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2270","11.777630","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2271","11.778514","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2272","11.778514","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2273","11.778514","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2274","11.778514","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2275","11.779112","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2276","11.781796","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2277","11.782754","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2278","11.782754","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2279","11.782754","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2280","11.782754","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2281","11.782754","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2282","11.784244","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2283","11.784244","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2284","11.786721","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2285","11.787034","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2286","11.787182","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2287","11.793880","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2288","11.794074","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2289","11.798136","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2290","11.799453","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2291","11.799453","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2292","11.799453","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2293","11.799453","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2294","11.799453","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2295","11.799453","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2296","11.799453","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2297","11.799453","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2298","11.799704","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2299","11.799937","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2300","11.799937","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2301","11.802718","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2302","11.803153","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2303","11.803415","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2304","11.804149","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2305","11.804796","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2306","11.804796","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2307","11.804796","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
"2308","11.804953","192.168.43.144","114.125.240.19","UDP","75","57846  >  443 Len=33"
"2309","11.853866","114.125.240.19","192.168.43.144","UDP","1292","443  >  57846 Len=1250"
